0	0	0	0	0
48.611	62.177	35.046	233.56	214.57
172.62	220.53	124.72	315.22	158.66
345.25	440.96	249.54	516.67	143.46
546.52	698.52	394.52	745.11	153.1
761.88	975.29	548.48	926.78	142.27
980.99	1258.6	703.34	1132.4	247.22
1196.7	1539.8	853.49	1379.7	212.01
1404.1	1812.9	995.29	1528.4	330.46
1600.2	2073.9	1126.5	1726.8	447.55
1783	2320.2	1245.9	1718	269.1
1951.9	2550.5	1353.2	1961.6	376.65
2106.5	2764.4	1448.5	2073.7	266.79
2247.1	2961.7	1532.5	2315.7	296.61
2374.2	3142.6	1605.8	2396.1	281.96
2488.6	3307.7	1669.4	2494.8	267.23
2591.1	3457.9	1724.2	2473.7	339.42
2682.6	3594	1771.2	2616.2	250.31
2764.1	3716.9	1811.2	2645.2	242.81
2836.4	3827.6	1845.1	2657.2	329.19
2900.5	3927.1	1873.8	2743.4	308.58
2957.1	4016.3	1897.8	2896.6	427.79
3007	4096	1917.9	2954.6	248.36
3050.9	4167.2	1934.7	2948.1	293.44
3089.6	4230.7	1948.6	2994.8	330.91
