0	0	0	0	0
56.488	71.315	41.661	130.67	61.628
193.79	244.05	143.53	329.78	55.771
373.35	469.66	277.05	487.67	130.58
570.93	718.62	423.24	742.11	131.56
772.37	974.18	570.56	871.56	206.41
969.57	1226.9	712.27	1106.7	242.15
1158	1471.3	844.64	1288.4	254.69
1335.2	1704.5	965.88	1489.8	357.45
1499.9	1924.5	1075.3	1617.2	255.13
1651.7	2130.3	1173	1778.3	273.9
1790.5	2321.7	1259.4	1893.1	314.52
1916.8	2498.5	1335.2	2081.7	315.28
2031.1	2660.9	1401.2	2281.4	289.55
2133.9	2809.6	1458.3	2332.8	274.89
2226.2	2945	1507.4	2496.3	408.22
2308.7	3068	1549.4	2606.6	399.03
2382.2	3179.3	1585.2	2591.8	430.68
2447.5	3279.7	1615.4	2822	412.96
2505.5	3370.1	1640.9	2926.9	458.55
2556.7	3451.2	1662.2	3046.1	469.88
2601.9	3523.8	1680	3026.3	459.91
2641.8	3588.8	1694.8	3153.1	539.14
2676.9	3646.8	1707.1	3371.9	558.67
2707.9	3698.5	1717.2	3410.7	469.36
