0	0	0	0	0	0	0	0	0	0
5	16	26	140	490	623	370	225	90	122
10	207	163	192	268	473	124	530	368	512
15	365	515	319	467	751	612	650	395	576
20	671	807	779	613	1030	586	790	558	872
25	988	732	942	967	1187	809	991	752	973
30	1042	1046	822	990	1509	1136	1244	891	1512
35	1352	1414	1160	1197	1814	1368	1499	1130	1483
40	1414	1456	1437	1707	2318	1251	1239	1359	1575
45	1195	1413	1611	1785	2668	1478	1696	1511	2184
50	1207	1742	1775	1661	2208	1686	1818	1513	1852
55	1683	1906	1792	1841	2838	1664	1889	1754	2287
60	1914	1901	1917	1977	2735	2053	2205	1918	2043
65	1992	2092	2027	2280	2909	2351	2350	2210	2630
70	2350	2174	2006	2439	2525	2349	2823	2115	2784
75	2532	2234	2238	2365	3073	2322	2442	2526	2721
80	2399	2234	2238	2597	3052	2114	2721	2092	2816
85	2442	2654	2558	2540	3234	2542	2622	2346	2608
90	2548	2549	2638	2517	3155	2337	2829	2465	2769
95	2407	2735	2360	2691	3408	2465	2766	2355	2728
100	2560	3062	2370	2690	2946	2956	3015	2195	2897
105	2626	2715	3216	2715	3618	2665	2969	2219	3326
110	2960	2685	3097	2956	3465	2678	2825	2810	3115
115	2744	2754	2716	2740	3333	2964	2958	2793	3531
120	2726	3047	2822	2939	3732	2886	2876	2649	3276
