0	0	0	0	0	0	0	0	0	0
5	84	-7	32	399	417	520	158	194	39
10	119	281	7	69	304	111	346	338	315
15	250	338	101	262	610	584	474	639	532
20	372	539	498	292	603	487	672	590	544
25	526	581	569	406	648	632	670	734	677
30	527	542	733	666	927	737	899	888	842
35	662	737	592	620	947	910	1130	1217	932
40	1085	898	934	861	1064	1062	1149	1254	915
45	944	1006	871	797	1104	1328	1447	1362	1271
50	1139	1196	1173	893	1080	1281	1593	1417	1040
55	1267	1064	1178	1012	1316	1043	1331	1574	1421
60	1197	1217	1159	1078	1586	1469	1259	1475	1276
65	1142	1321	1270	1054	1419	1596	1848	1784	1699
70	1290	1466	1128	1331	1520	1491	1974	1642	1590
75	1242	1346	1407	1145	1793	1242	1709	1827	1668
80	1590	1431	1515	1262	1618	1608	1791	2067	1743
85	1519	2071	1552	1279	1592	1850	1969	1931	1646
90	1404	1857	1683	1249	1732	1773	1865	2327	1746
95	1854	1728	1655	1454	1649	1744	2053	2012	1990
100	1696	1791	1622	1335	1708	1874	2028	2178	1843
105	1739	1872	1756	1303	1810	1750	2210	2250	1757
110	1798	1830	1436	1576	1676	1467	2157	2026	2029
115	2016	2127	2018	1593	1905	1902	2543	2604	2164
120	1866	1873	1909	1573	1929	1674	2080	2319	1912
