0	9	13	19	-29	20	-17	-34	-75	14
5	35	35	60	10	86	47	21	40	48
10	138	144	137	18	131	108	82	43	110
15	254	245	273	138	210	265	203	174	264
20	390	448	521	242	411	451	359	327	450
25	678	721	802	436	688	689	523	542	652
30	1096	1092	1204	673	933	945	768	829	981
35	1419	1455	1649	1003	1346	1318	1061	1169	1345
40	1863	1898	2067	1262	1727	1697	1462	1460	1847
45	2349	2310	2454	1673	2177	2056	1839	1856	2283
50	2893	2740	2966	2136	2631	2616	2326	2222	2833
55	3299	3237	3497	2441	3081	3032	2801	2595	3284
60	3892	3699	4008	2877	3496	3541	3263	3065	3800
65	4428	4105	4505	3209	3970	3979	3763	3423	4179
70	4886	4586	5048	3715	4425	4380	4355	3885	4737
75	5410	5068	5433	3995	4881	5017	4712	4387	5052
80	5976	5609	5889	4418	5442	5501	5217	4779	5610
85	6518	6216	6541	4764	5884	5934	5710	5223	5921
90	6965	6598	6917	5035	6266	6480	6102	5865	6445
95	7443	7206	7475	5521	6872	6858	6529	6161	6775
100	7788	7720	7876	5800	7111	7243	6910	6623	7258
105	8500	8299	8304	6226	7574	7856	7610	7118	7663
110	9016	8857	8721	6638	7920	8195	7897	7442	8110
115	9241	9233	9273	6959	8310	8589	8419	7973	8495
120	9683	9762	9681	7448	8598	8873	8644	8190	9022
