0	0	0	0	0
57.202	71.725	42.68	106.11	65.12
203.44	254.67	152.22	298.22	119.92
407.7	510.01	305.39	488.11	134.06
646.81	809.3	484.33	629	111.9
903.8	1132	675.61	907.11	157.38
1166.4	1463.4	869.41	1146.7	181.38
1426	1793.2	1058.7	1408.6	260.7
1676.7	2114.3	1239	1479.9	243.32
1914.5	2421.9	1407.2	1722.3	254.71
2137.3	2712.9	1561.7	1929.8	252.22
2343.6	2985.5	1701.7	1975.4	267.79
2533.1	3238.8	1827.3	2121.9	254.4
2705.8	3472.7	1939	2404.7	330.79
2862.5	3687.4	2037.5	2539.8	341.4
3003.7	3883.7	2123.8	2605.6	287.51
3130.6	4062.2	2199	2749.8	216.06
3244.1	4224.1	2264.1	2836.7	259.53
3345.3	4370.3	2320.2	2910.4	341.24
3435.2	4502.1	2368.3	3019.9	303.62
3514.9	4620.4	2409.4	3023.1	329.85
3585.4	4726.5	2444.4	3149.3	349.05
3647.6	4821.3	2474	3333.4	408.97
3702.5	4906	2499	3393.4	391.65
3750.8	4981.4	2520.2	3343.4	391.84
