0	38	36	36	35	-64	8	-55	-25	20
5	34	66	49	87	10	65	-1	28	36
10	109	124	127	121	11	95	26	61	93
15	168	215	185	185	73	112	147	167	214
20	351	330	248	291	188	227	271	220	341
25	513	501	392	396	274	368	440	342	438
30	702	771	613	519	390	501	626	561	629
35	951	949	813	712	590	689	757	721	759
40	1115	1127	993	793	702	816	979	896	921
45	1326	1258	1215	956	888	986	1176	1138	1218
50	1477	1452	1399	1230	1035	1208	1370	1299	1408
55	1676	1641	1518	1373	1096	1321	1534	1510	1537
60	1820	1796	1654	1541	1315	1512	1656	1618	1725
65	2037	1938	1876	1667	1442	1584	1825	1764	1869
70	2131	2043	1986	1932	1622	1791	1959	1803	1986
75	2316	2161	2011	2038	1714	1891	2050	2076	2135
80	2424	2248	2149	2170	1793	1940	2164	2176	2237
85	2629	2416	2334	2254	1828	2048	2365	2262	2356
90	2665	2518	2361	2446	1881	2193	2509	2457	2490
95	2865	2641	2548	2517	2036	2281	2520	2416	2561
100	2893	2708	2539	2585	2131	2365	2672	2612	2720
105	2938	2717	2658	2667	2217	2486	2745	2667	2799
110	3005	2858	2654	2866	2177	2557	2768	2749	2787
115	2974	2889	2636	2929	2207	2540	2915	2795	2946
120	3069	2871	2811	2931	2353	2599	2910	2855	2957
