0	0	0	0	0
45.976	56.911	35.04	204	194.03
153.46	188.88	118.04	210	131.79
287.02	352.2	221.84	421.11	189.99
426.65	523.43	329.87	510.78	117.54
562.26	691.22	433.31	604.78	97.687
689.21	850.4	528.02	751.22	150.64
805.7	998.91	612.49	860.78	223.43
911.44	1136.2	686.65	1024.7	131.2
1006.8	1262.5	751.13	1125.6	235.01
1092.4	1378.1	806.82	1201.3	208.21
1169.1	1483.5	854.69	1245.1	188.57
1237.5	1579.4	895.68	1301.8	169.51
1298.5	1666.3	930.68	1459.2	285.96
1352.7	1744.9	960.45	1492.4	241.12
1400.7	1815.6	985.7	1486.6	263.29
1443.1	1879.2	1007	1625	229.1
1480.6	1936.2	1024.9	1712.1	257.64
1513.5	1987.1	1039.9	1737.3	302.54
1542.5	2032.6	1052.4	1793.2	199.82
1567.9	2073	1062.8	1786.1	241.8
1590.1	2108.9	1071.4	1827.4	279.76
1609.6	2140.7	1078.4	1777.2	258.88
1626.6	2168.9	1084.2	2096.9	316.83
1641.5	2193.9	1089	1903.9	214.7
