0	0	0	0	0	0	0	0	0	0
5	65	51	138	121	112	24	45	201	198
10	235	197	264	184	277	244	282	524	477
15	314	524	487	648	377	349	571	425	698
20	692	739	607	646	435	508	552	737	745
25	818	1030	1181	698	768	873	788	1042	966
30	1105	1383	1339	1142	856	892	1120	1258	1225
35	1422	1787	1535	1459	938	1109	1308	1646	1473
40	1663	1918	1598	1343	1070	1308	1366	1509	1544
45	1759	2142	1460	1746	1413	1493	1586	1932	1970
50	2072	2378	1828	1934	1458	1861	1967	2091	1779
55	2298	2326	1883	2035	1503	1671	1934	2040	2089
60	2370	2537	2292	2015	1875	1756	1918	2128	2206
65	2457	2769	2448	2243	1832	2015	2789	2695	2394
70	2845	2702	2741	2121	2110	2101	2985	2569	2684
75	2736	2893	2694	2702	2012	2251	2767	2589	2806
80	2911	3004	2768	2492	2681	2389	2656	2846	3001
85	3181	3135	2822	2856	2278	2736	2817	2791	2914
90	3368	3283	3169	2999	2639	2278	2740	2840	2878
95	3395	3302	3267	2633	2528	2826	2971	3150	3107
100	3558	3192	3256	2992	2402	2721	2904	3090	3093
105	3647	3540	3290	3288	2658	2703	3166	2847	3205
110	3981	3932	3091	3462	2724	3285	3096	3099	3331
115	4043	3688	3449	3439	2632	3076	3295	3544	3375
120	4072	3850	3188	3107	2899	3036	3518	3249	3172
