0	0	0	0	0	0	0	0	0	0
5	117	122	193	147	140	93	232	12	120
10	282	326	388	272	321	433	279	369	298
15	531	398	660	251	601	466	629	429	424
20	810	806	856	471	729	660	881	641	825
25	1018	1090	1073	675	698	991	1043	632	624
30	994	1488	1308	743	888	1220	1181	883	1255
35	1287	1350	1787	874	1176	1460	1357	1227	1078
40	1688	1825	2120	1079	1290	1563	1535	1280	1028
45	1439	1824	1922	1160	1593	1850	1764	1645	1358
50	1801	1943	2301	1497	1758	1818	1853	1712	1322
55	2192	2194	2374	1521	1954	1818	1770	1772	1443
60	2174	2475	2483	1630	1764	2263	2241	1889	1816
65	2281	2468	2763	1721	2125	2346	2476	2203	2150
70	2299	2611	2889	2034	2296	2179	2436	2179	2072
75	2863	2808	3102	1864	2215	2777	2371	2341	2126
80	2520	3077	3291	2194	2292	2962	2482	2290	2351
85	2802	2792	3445	2100	2434	2791	2623	2108	2231
90	3101	3004	3698	2515	2428	2844	2772	2674	2362
95	3114	3415	3665	2417	2730	2776	3283	2465	2477
100	2947	3492	3835	2442	2848	3465	3111	2731	2544
105	2995	3352	3906	2598	3085	3230	3066	2630	2375
110	3157	3637	4289	2461	2961	3101	3000	3127	2645
115	3336	3599	4604	2645	3169	3603	3374	2869	3148
120	3684	3868	4204	3048	3197	3596	3406	2869	2824
