0	0	0	0.0030376	0.0028777	0.0028777	0.0027978	-0.0051159	0.00063949	-0.0043965	-0.0019984	0.0015987
0.0022964	0.0028492	0.0017436	0.0027178	0.0052758	0.0039169	0.0069544	0.00079936	0.0051958	-7.9936e-05	0.0022382	0.0028777
0.0092032	0.011438	0.006968	0.008713	0.0099121	0.010152	0.0096723	0.0008793	0.0075939	0.0020783	0.0048761	0.0074341
0.018282	0.022862	0.013701	0.013429	0.017186	0.014788	0.014788	0.0058353	0.0089528	0.011751	0.013349	0.017106
0.02817	0.035465	0.020875	0.028058	0.026379	0.019824	0.023261	0.015028	0.018145	0.021663	0.017586	0.027258
0.038248	0.048471	0.028026	0.041007	0.040048	0.031335	0.031655	0.021902	0.029416	0.035172	0.027338	0.035012
0.04823	0.061509	0.034952	0.056115	0.061631	0.049001	0.041487	0.031175	0.040048	0.05004	0.044844	0.05028
0.057982	0.074394	0.041569	0.076019	0.075859	0.064988	0.056914	0.047162	0.055076	0.060512	0.057634	0.060671
0.067448	0.087042	0.047855	0.089129	0.090088	0.079376	0.063389	0.056115	0.065228	0.078257	0.071623	0.073621
0.076621	0.099426	0.053816	0.106	0.10056	0.097122	0.076419	0.070983	0.078817	0.094005	0.090967	0.097362
0.085513	0.11155	0.059477	0.11807	0.11607	0.11183	0.098321	0.082734	0.096563	0.10951	0.10384	0.11255
0.094145	0.12343	0.064865	0.13397	0.13118	0.12134	0.10975	0.08761	0.1056	0.12262	0.1207	0.12286
0.10254	0.13508	0.070009	0.14548	0.14357	0.13221	0.12318	0.10512	0.12086	0.13237	0.12934	0.13789
0.11074	0.14653	0.074942	0.16283	0.15492	0.14996	0.13325	0.11527	0.12662	0.14588	0.14101	0.1494
0.11875	0.15781	0.079689	0.17034	0.16331	0.15875	0.15444	0.12966	0.14317	0.15659	0.14412	0.15875
0.12661	0.16893	0.084279	0.18513	0.17274	0.16075	0.16291	0.13701	0.15116	0.16387	0.16595	0.17066
0.13433	0.17993	0.088733	0.19376	0.1797	0.17178	0.17346	0.14333	0.15508	0.17298	0.17394	0.17882
0.14194	0.19081	0.093071	0.21015	0.19313	0.18657	0.18018	0.14612	0.16371	0.18905	0.18082	0.18833
0.14946	0.2016	0.097311	0.21303	0.20128	0.18873	0.19552	0.15036	0.1753	0.20056	0.1964	0.19904
0.15689	0.21231	0.10147	0.22902	0.21111	0.20368	0.2012	0.16275	0.18233	0.20144	0.19313	0.20472
0.16425	0.22296	0.10555	0.23125	0.21647	0.20296	0.20663	0.17034	0.18905	0.21359	0.20879	0.21743
0.17156	0.23355	0.10957	0.23485	0.21719	0.21247	0.21319	0.17722	0.19872	0.21942	0.21319	0.22374
0.17882	0.24409	0.11355	0.24021	0.22846	0.21215	0.2291	0.17402	0.2044	0.22126	0.21974	0.22278
0.18603	0.25459	0.11748	0.23773	0.23094	0.21071	0.23413	0.17642	0.20304	0.23301	0.22342	0.23549
0.19321	0.26506	0.12137	0.24532	0.2295	0.2247	0.23429	0.18809	0.20775	0.23261	0.22822	0.23637
