1214.8;1164.6;1151.4;921.2;1223;1229.6;1355.8;1416.4;1184.6;1571;1772;1794.8;1787.2;2546.4;1619.4;1769.4;1611;1988.2;1947.2;2140.6;2328.4;1421.8;1716.2;1906.8;1832.6;1659.6;1393.4;2120.8;2348.6;1900.6;1859;1508.2;1662.2;1754.2;1940;1917.6
1221;1244;1213.4;964.2;1298.4;1340.8;1495.6;1522.4;1341.4;1681.4;1894;1907.6;1906.2;2669;1843.8;1991.6;1781.2;2199.2;2060.6;2264;2451.8;1552.6;1885.6;2065.8;2020.8;1844.2;1617.8;2274.4;2513.6;2065.4;2041.4;1663;1806;2038.8;2177.2;2087.6
1316;1361.8;1290.6;1083.6;1394.2;1386;1601;1578.4;1405.2;1938.2;2072;2012.4;2049.6;2653;2030.6;2217;1902;2319.2;2258.4;2447.2;2671;1726;2024.8;2130.2;2155.2;1951;1760.6;2517.4;2651.4;2347.4;2115;1801;1926.2;2318.6;2304.6;2230.4
1356.2;1411.4;1357;1130.6;1533.4;1374.8;1624.2;1660.4;1530.8;2222.8;2190;2124.6;2187;2822.6;2154.4;2341.8;2104.6;2493;2490.4;2639.8;2850.8;1819;2135.8;2341.6;2258.8;2076.8;1921.4;2669.8;2774;2540.2;2288.2;1931.4;2023.8;2478.6;2404.2;2435.8
1418.4;1482.4;1422;1189;1602.2;1496.2;1716.2;1759;1595.2;2363.6;2253.2;2211.4;2346.6;2873.8;2252.8;2508.2;2172.2;2598.8;2553.6;2814;3031.8;1976.2;2226;2593;2401.2;2180.4;2103;2790;2907.2;2714.8;2402.2;2189.6;2190;2623;2565.4;2618.2
1483.8;1654.2;1501.6;1221.4;1595.6;1564.6;1858.2;1850.2;1669.2;2470.2;2404.8;2340.6;2451.4;2965.8;2342.8;2591.6;2257.8;2711.8;2680.2;2878.4;3225.2;2079.8;2369.6;2708.2;2477.6;2224.2;2186;2953.2;3027.8;2821.8;2580;2279.8;2395.6;2802.8;2698;2759.8
1532.6;1757.8;1580.6;1260.4;1658.2;1600;1861.6;1958.8;1678.6;2577.8;2492.6;2459.2;2498.8;3015;2340;2687.4;2308.8;2739.6;2840.6;2982;3408.6;2238.6;2430.2;2807.8;2536.8;2318.4;2228.4;3131.8;3127;2962.4;2731.2;2441.2;2448.2;2793;2727;2856.6
1647;1811.8;1687.6;1263.2;1662.2;1628.8;1877.4;2032.8;1758.6;2590.8;2606.4;2531.6;2527.4;3169.8;2341.4;2676;2356.8;2728.4;3005.2;3144.4;3565.4;2326.2;2528;2938.2;2706.2;2375.6;2309.4;3243.4;3248.6;3069.2;2844.6;2535.8;2604.2;2790.2;2843.2;2941.2
1731.6;1894.6;1724.4;1315.6;1659.6;1769.6;1941.2;2103;1793.6;2590.2;2765.8;2551.8;2606.8;3158.8;2482.6;2790.6;2290.6;2763.6;3015.8;3275;3705.8;2440.6;2653.4;3074.6;2854.2;2453.6;2393;3401.6;3302.2;3175.4;2901.4;2612.6;2697;2817.6;2943.4;2998.6
1780.4;2001.8;1791.6;1290.8;1665;1765;2025;2139.6;1796.4;2654.6;2881;2766.4;2597.4;3239;2559.8;2840.2;2316;2865.6;3129.8;3349;3847.8;2515.6;2806.2;3122.4;2971;2521.6;2397.8;3567.8;3428.4;3298.8;3054.8;2602.2;2754;2919.6;2943.6;3039.4
1831;1948.4;1763.2;1400.2;1731.8;1738.4;2062.6;2158.6;1873;2753;2882;2869;2730.6;3335.2;2637;2880.8;2408.8;2967;3195.6;3512.8;4011.4;2563.8;2887.6;3160.4;3046.4;2725.4;2480.6;3722.6;3582.6;3347.4;3152;2667.4;2839.8;2975.4;3005.2;3122.8
1953;2002;1829.8;1447.6;1745;1742.8;2198.2;2214;1956.6;2791.8;2922.6;2884.2;2753.8;3349.4;2741;2906.6;2474.4;3119.4;3242.2;3631.4;4192.2;2604;3050;3326.4;3166.8;2764.4;2637.8;3857.2;3663.2;3403;3254.2;2680.2;3013.6;3086.4;3146;3222.2
1946.6;2022.2;1871.8;1495.4;1825;1752.8;2203.6;2275.4;1941;2846.8;2976.2;2967.8;2827.4;3438.2;2849.2;2928.6;2533.2;3229;3347.4;3713.2;4291.2;2741.2;3154.4;3501.4;3191.4;2845.2;2707.2;3983.8;3764;3378.4;3360;2765.4;3066.6;3195.8;3165.8;3235.2
2019.3;2069.3;1913.7;1612.3;1868.3;1712.7;2260;2316.3;2035;2936;2954.7;3004.3;2910;3541.7;2874.3;2886.3;2750.7;3307.3;3518.3;3827.3;4491.7;2811.7;3202.7;3527;3260;2955;2872.3;4158;3949.3;3368.7;3429.7;2845.3;3226;3303;3297.3;3292.7
1998;2005;2041;1573;1929;1674;2080;2319;1912;2858;3179;2954;2939;3732;2886;2876;2649;3276;3816;4000;4336;3189;3338;3737;3406;2869;2824;4204;3982;3320;3248;3040;3177;3518;3249;3172
