0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57.333;81;2.6667;95;179.33;149.33;168;177.33;118;64;52.667;100.33;191.67;304.33;103.67;251.67;152.67;211.33;122.67;139;183.33;132.67;146.67;168.33;170.33;127;139.33;89.667;72.333;123.67;94.667;122.67;82.333;109;241.67;225
182.8;248;145.4;145.2;327.6;281.2;330;352.2;286;269.6;320;303.8;308.4;516.2;279.2;439;282.2;416.4;365.8;348.2;437.2;239;369;341.2;404.2;290.2;333.4;279;320;317;330.6;251;235.8;290;377.4;423.6
305.4;381.6;276.6;239.4;470.2;420.6;464;499;421.4;484.6;483.8;509.6;514.8;766.6;454;637.2;432.6;611;586.8;583.6;669.2;393.4;528;558.8;612.8;416.6;458.2;460;543.4;570.6;489.6;424;429.8;447.6;585.8;616.8
394.8;492.2;417.6;355.8;635.2;527;612.2;637.8;582;690.6;688.6;646.8;677.8;1006.8;670.2;841;592.8;889;763;857.6;893;513;678;784.6;802.6;590.8;685.2;668.8;810.6;811.6;694.2;573.2;603.8;662.6;797.2;822.2
519.2;599.2;550.4;439;736.8;659.8;769;813.6;705.4;935.4;954.6;856.2;836.6;1248;892;1034.8;745.2;1083.2;979.8;1078.2;1188.6;643.6;859.2;1000.2;1018.2;762.4;841.2;922;1144.4;1081.6;959.4;715.6;787;867.8;1021.6;1021.4
689.6;714.6;720.4;582.4;851.2;779;904;936.6;782;1148.6;1146.2;1083.2;1108.2;1585;1043.4;1152.6;938;1283;1214.6;1367;1484;806.4;994.2;1216.8;1199.4;932.6;962;1195.2;1426.6;1307.2;1095.6;851.4;976;1026.8;1238.4;1190.6
812.4;816.4;803.4;677;945;940.8;1059;1091;927.4;1261.8;1275.8;1258;1336.2;1906.2;1215.4;1333.8;1128.6;1545.4;1348.8;1579;1705.6;938.4;1161.2;1449;1376;1133.4;1068.6;1417;1715.6;1486.2;1309.8;1041.2;1167.2;1233.6;1477.4;1435.6
922.2;926.6;911.4;764.2;1021.2;1060.4;1243.6;1227.6;1000;1292.8;1465;1411.8;1464.8;2100.2;1380.6;1499.2;1280.8;1721.2;1492.6;1736.8;1938.4;1082.8;1353.2;1594.4;1538;1349.4;1208.2;1655;1972.4;1602.8;1537;1159.2;1344.8;1469.4;1687.2;1598.2
1082.8;1043.6;1013;853.6;1119.2;1141.8;1330;1364.8;1115.8;1433.6;1649.6;1618.4;1655.2;2386.2;1506.4;1628.2;1453.4;1876.2;1744.8;1890.6;2164.2;1249.6;1577.6;1725.2;1655.8;1527.2;1245.8;1906.2;2173.6;1724.2;1726.8;1299.8;1511.8;1632.2;1843.6;1771
