2388.8;-982.09;-105.46;-1118.4;2901.9;626.06;315.72;296.32;-575.39;845.67;336.1;1073.1;1068.8;708.82;2028.8;419.17;-201.52;212.27;1764;-2154.3;-891.18;-1049.1;-2470.1;842.81;373.84;349.6;-83.3;53.843;1013.8;693.84;429.02
5735.1;4103.4;3471.2;4264.4;6276.6;5151.1;4489.1;4102.3;4004.8;5330.1;4533.1;6779.6;6912.9;6866.6;9255.7;5175.3;5929.6;6788;7342;5135.2;4327.9;6154.7;6275.3;8031.7;8397.4;6995.8;7073.5;8928.2;9025.4;8044.7;9669.3
15682;13777;13702;13687;15922;14841;14205;13503;15110;17022;15831;18025;18155;18749;20001;16743;17914;18884;18971;18432;17895;19115;20214;20409;21003;20377;20745;22095;21359;20208;23772
25607;23520;23467;24656;24444;24074;23597;22916;24003;26223;25674;29780;27767;29815;32400;28629;29276;30488;29811;30586;29019;31357;33153;33155;33247;32267;31938;34816;33050;31146;35712
37490;36222;36176;37193;35734;35353;35055;33754;34719;37815;37576;44249;42669;42430;46004;42902;42329;43564;42436;44862;43022;44657;46667;44756;45039;44079;43685;47099;45663;43234;49059
45887;48363;47399;48818;44136;44327;44529;43647;43684;47343;47653;56969;54506;55683;57981;54972;54127;54848;55095;56789;56303;56935;58446;57064;57342;55187;56128;60274;59298;55476;62421
54461;57592;56087;59217;52625;52684;53610;53130;51921;55745;56774;69100;65682;66551;69308;67264;64975;64335;65927;68205;67303;68405;69472;69821;69454;66996;67233;75617;73682;69182;77298
60834;65696;63914;68300;59354;59890;59862;60326;58299;62338;63389;79609;75493;77091;81419;77240;73278;73325;76218;77453;75981;77467;79182;82014;79856;77184;76658;88090;87257;78342;89866
65699;71137;70843;73622;64122;64191;64376;64878;62436;66745;67093;88113;85514;85943;87988;84890;80652;79839;83457;84668;83890;83771;84975;90378;84997;84665;84660;95364;97671;84475;1.0034e+05
68563;73070;73651;76076;66318;66304;67107;68478;65259;69094;69768;93614;89831;93351;94317;90556;87127;85745;90203;90162;89722;89962;90943;99593;92886;92520;92515;1.0561e+05;1.0761e+05;89353;1.0956e+05
74089;74044;76600;77551;69676;69028;69796;71400;68276;71664;71894;98821;96124;99300;1.0059e+05;97704;94231;92764;95705;97451;94718;95622;96456;1.0558e+05;97740;98438;96822;1.1113e+05;1.1322e+05;93383;1.1611e+05
77767;76445;80452;80302;70566;70043;70459;71992;69024;72259;72514;1.0514e+05;1.0248e+05;1.0513e+05;1.0704e+05;1.0205e+05;1.0039e+05;99100;1.0191e+05;1.0144e+05;98745;1.0043e+05;1.0064e+05;1.1273e+05;1.0347e+05;1.0445e+05;1.0233e+05;1.16e+05;1.1916e+05;96685;1.2253e+05
79300;77470;81339;80033;70840;70121;71110;72333;70080;71818;73244;1.0938e+05;1.064e+05;1.0816e+05;1.117e+05;1.0689e+05;1.0628e+05;1.039e+05;1.0603e+05;1.0638e+05;1.0232e+05;1.0381e+05;1.0314e+05;1.1829e+05;1.0725e+05;1.0776e+05;1.0695e+05;1.2134e+05;1.2564e+05;1.0032e+05;1.264e+05
81488;79162;81582;80749;71531;71124;71439;72664;72304;72692;74520;1.138e+05;1.1094e+05;1.116e+05;1.1871e+05;1.1184e+05;1.1238e+05;1.0994e+05;1.1258e+05;1.1182e+05;1.0575e+05;1.0941e+05;1.0816e+05;1.2562e+05;1.1497e+05;1.1342e+05;1.1273e+05;1.3e+05;1.3309e+05;1.0861e+05;1.3381e+05
76128;77695;79164;78030;71096;70862;69824;71566;74548;71250;75931;1.1533e+05;1.1014e+05;1.0865e+05;1.247e+05;1.1527e+05;1.1331e+05;1.1206e+05;1.1287e+05;1.1592e+05;1.0628e+05;1.0866e+05;1.0861e+05;1.29e+05;1.1422e+05;1.1284e+05;1.1551e+05;1.3517e+05;1.428e+05;1.0988e+05;1.3304e+05
