0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	-7	32	39	57	160	158	194	39	16	26	140	130	263	10	225	90	122	117	122	193	147	140	93	232	12	120	65	51	138	121	112	24	45	201	198
88	250	-24	246	481	288	346	338	315	176	132	161	445	650	301	530	368	512	251	295	357	251	300	412	279	369	298	204	166	233	163	256	223	282	524	477
373	461	224	191	539	513	474	639	532	488	638	442	396	680	541	650	395	576	654	521	783	259	609	474	629	429	424	437	647	610	656	385	357	571	425	698
369	536	495	250	561	445	672	590	544	668	804	776	571	988	544	790	558	872	807	803	853	538	796	727	881	641	825	689	736	604	713	502	575	552	737	745
613	668	656	471	713	697	670	734	677	1075	819	1029	1032	1252	874	991	752	973	1105	1177	1160	772	795	1088	1043	632	624	905	1117	1268	795	865	970	788	1042	966
531	546	737	621	882	692	899	888	842	1046	1050	826	945	1464	1091	1244	891	1512	998	1492	1312	745	890	1222	1181	883	1255	1109	1387	1343	1144	858	894	1120	1258	1225
710	785	640	662	989	952	1130	1217	932	1400	1462	1208	1239	1856	1410	1499	1130	1483	1335	1398	1835	904	1206	1490	1357	1227	1078	1470	1835	1583	1489	968	1139	1308	1646	1473
1225	1038	1074	908	1111	1109	1149	1254	915	1554	1596	1577	1754	2365	1298	1239	1359	1575	1828	1965	2260	1073	1284	1557	1535	1280	1028	1803	2058	1738	1337	1064	1302	1366	1509	1544
983	1045	910	723	1030	1254	1447	1362	1271	1234	1452	1650	1711	2594	1404	1696	1511	2184	1478	1863	1961	1198	1631	1888	1764	1645	1358	1798	2181	1499	1784	1451	1531	1586	1932	1970
1162	1219	1196	907	1094	1295	1593	1417	1040	1230	1765	1798	1675	2222	1700	1818	1513	1852	1824	1966	2324	1494	1755	1815	1853	1712	1322	2095	2401	1851	1931	1455	1858	1967	2091	1779
1334	1131	1245	1068	1372	1099	1331	1574	1421	1750	1973	1859	1897	2894	1720	1889	1754	2287	2259	2261	2441	1579	2012	1876	1770	1772	1443	2365	2393	1950	2093	1561	1729	1934	2040	2089
1370	1390	1332	1000	1508	1391	1259	1475	1276	2087	2074	2090	1899	2657	1975	2205	1918	2043	2347	2648	2656	1765	1899	2398	2241	1889	1816	2543	2710	2465	2150	2010	1891	1918	2128	2206
1256	1435	1384	1123	1488	1665	1848	1784	1699	2106	2206	2141	2349	2978	2420	2350	2210	2630	2395	2582	2877	1727	2131	2352	2476	2203	2150	2571	2883	2562	2249	1838	2021	2789	2695	2394
1458	1634	1296	1320	1509	1480	1974	1642	1590	2518	2342	2174	2428	2514	2338	2823	2115	2784	2467	2779	3057	2065	2327	2210	2436	2179	2072	3013	2870	2909	2152	2141	2132	2985	2569	2684
1363	1467	1528	1142	1790	1239	1709	1827	1668	2653	2355	2359	2362	3070	2319	2442	2526	2721	2984	2929	3223	1959	2310	2872	2371	2341	2126	2857	3014	2815	2797	2107	2346	2767	2589	2806
1645	1486	1570	1360	1716	1706	1791	2067	1743	2454	2289	2293	2695	3150	2212	2721	2092	2816	2575	3132	3346	2365	2463	3133	2482	2290	2351	2966	3059	2823	2663	2852	2560	2656	2846	3001
1697	2249	1730	1162	1475	1733	1969	1931	1646	2620	2832	2736	2423	3117	2425	2622	2346	2608	2980	2970	3623	2283	2617	2974	2623	2108	2231	3359	3313	3000	3039	2461	2919	2817	2791	2914
1500	1953	1779	1318	1801	1842	1865	2327	1746	2644	2645	2734	2586	3224	2406	2829	2465	2769	3197	3100	3794	2521	2434	2850	2772	2674	2362	3464	3379	3265	3005	2645	2284	2740	2840	2878
2030	1904	1831	1334	1529	1624	2053	2012	1990	2583	2911	2536	2571	3288	2345	2766	2355	2728	3290	3591	3841	2503	2816	2862	3283	2465	2477	3571	3478	3443	2719	2614	2912	2971	3150	3107
1786	1881	1712	1404	1777	1943	2028	2178	1843	2650	3152	2460	2759	3015	3025	3015	2195	2897	3037	3582	3925	2531	2937	3554	3111	2731	2544	3648	3282	3346	3081	2491	2810	2904	3090	3093
1889	2022	1906	1236	1743	1683	2210	2250	1757	2776	2865	3366	2648	3551	2598	2969	2219	3326	3145	3502	4056	2740	3227	3372	3066	2630	2375	3797	3690	3440	3430	2800	2845	3166	2847	3205
1950	1982	1588	1709	1809	1600	2157	2026	2029	3112	2837	3249	3089	3598	2811	2825	2810	3115	3309	3789	4441	2524	3024	3164	3000	3127	2645	4133	4084	3243	3525	2787	3348	3096	3099	3331
2110	2221	2112	1555	1867	1864	2543	2604	2164	2838	2848	2810	2702	3295	2926	2958	2793	3531	3430	3693	4698	2722	3246	3680	3374	2869	3148	4137	3782	3543	3516	2709	3153	3295	3544	3375
1998	2005	2041	1573	1929	1674	2080	2319	1912	2858	3179	2954	2939	3732	2886	2876	2649	3276	3816	4000	4336	3189	3338	3737	3406	2869	2824	4204	3982	3320	3248	3040	3177	3518	3249	3172
